ec,f1,auc,ap,acc,bacc,prec,rec,jac,n
1.7,0.2944915254237288,0.8402086220258153,0.26213861578812303,0.9177676256327941,0.7055369089733725,0.21302681992337164,0.47684391080617494,0.17267080745341615,16198.0
1.10,0.3113456464379947,0.8873251321358847,0.2447129298187626,0.8871824862061074,0.7809959344776373,0.20315981365201538,0.6660026560424966,0.184375,39329.0
1.-,0.4106364428945074,0.8952068278536821,0.516585208344077,0.8486341244961935,0.7884888275236064,0.2875457875457875,0.7179878048780488,0.25836533187054306,8932.0
6.2,0.3739130434782609,0.9201628459308977,0.4282180741839138,0.8753426633963353,0.8326031892582545,0.24536376604850213,0.7853881278538812,0.22994652406417113,13862.0
3.13,0.34183673469387754,0.8811348975490692,0.3228577273667659,0.8877772944758591,0.753739023114545,0.2381516587677725,0.6054216867469879,0.20615384615384616,6897.0
1.12,0.48056537102473496,0.8916098115659519,0.5634612459699133,0.7866473149492017,0.8095557179987004,0.33663366336633666,0.8395061728395061,0.31627906976744186,689.0
4.6,0.3748211731044349,0.863143805633757,0.3716898981624165,0.78662109375,0.7944134350946283,0.24440298507462688,0.803680981595092,0.2306338028169014,4096.0
7.4,0.4666666666666667,0.9365804623960522,0.6732111748796799,0.8333333333333334,0.8652106369368546,0.3146067415730337,0.9032258064516129,0.30434782608695654,384.0
3.8,0.3087248322147651,0.8323826107841961,0.21002599219124557,0.8714107365792759,0.7072024738801489,0.21904761904761905,0.5227272727272727,0.18253968253968253,801.0
1.9,0.4852941176470588,0.9358851674641149,0.5478057897906148,0.9027777777777778,0.7639097744360902,0.4074074074074074,0.6,0.32038834951456313,720.0
2.-,0.2840909090909091,0.7646752163486602,0.2619956940053071,0.8568181818181818,0.7087894901470129,0.19230769230769232,0.5434782608695652,0.16556291390728478,880.0
3.3,0.3822864889290556,0.8742726190502099,0.35520323508648943,0.8874155822763959,0.8026039683040582,0.26175742574257427,0.7085427135678392,0.23631284916201117,12142.0
3.11,0.2727272727272727,0.8939603659565849,0.30358843205588504,0.9594423320659062,0.7975085243577191,0.17391304347826086,0.631578947368421,0.15789473684210525,1578.0
4.98,0.18009478672985782,0.8133179156801204,0.11477129169822013,0.8795264623955432,0.6888295431602518,0.11046511627906977,0.48717948717948717,0.09895833333333333,1436.0
7.6,0.74,0.9708273553323769,0.8792371355038837,0.8938775510204081,0.897297943567671,0.6271186440677966,0.9024390243902439,0.5873015873015873,245.0
3.9,0.34951456310679613,0.8328137706695582,0.22900812185202937,0.8568376068376068,0.7059501219842776,0.2608695652173913,0.5294117647058824,0.21176470588235294,468.0
