ec,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
1.11,9856.0,13.0,0.1721712645163807,0.7292007493901619,0.1839562959566067,0.8240566555642599,0.6378731277862781,0.11247888917270546,0.43418941541113487,0.09894403687823974,0.12180397724609299,0.2047303354300852,0.17692216157756974,0.09228785031928911,0.14742379153038232,0.07975889657734361,0.3134545091278244,0.07742527811587252
1.6,25433.0,36.0,0.35751133390830026,0.8758398682455636,0.3610205753459945,0.8602084526552833,0.7569515969387902,0.2644757625399101,0.6425103612713613,0.2319829419440008,0.17861854498807056,0.069657359095541,0.23770372762995645,0.042888171733143424,0.10738523266474129,0.1626958675911518,0.23288946071706437,0.13633293053222426
1.17,11487.0,12.0,0.25361299132482895,0.7494105833697685,0.28782210942288916,0.8891434334612578,0.6652988989990917,0.1918447084718892,0.42960770056582653,0.17240424855764566,0.26892171850892527,0.21429278099954777,0.30875005823872687,0.06835178627473232,0.17958307830831724,0.21902148187607487,0.39432516568140136,0.19363333948908532
7.5,4097.0,3.0,0.1973669398081492,0.7845903807283978,0.11608337313305804,0.9118380220682538,0.6431047410361738,0.13958710510434644,0.35978835978835977,0.110248434626943,0.057265171614219554,0.036316032493420386,0.0642258002158774,0.05651897263889232,0.06465488961188158,0.03055870442250147,0.18601477070102587,0.03590016894732682
1.8,24155.0,31.0,0.41596706671240596,0.8682738537876441,0.4137132757502016,0.7995362067366675,0.7774475965566309,0.29707752314543,0.7691441763513595,0.27179580682602483,0.13785111246504567,0.07867467047706031,0.19744010295842718,0.10410532040785077,0.08467502583165709,0.11648207556032493,0.16593865567373436,0.10962768359307404
4.3,4733.0,6.0,0.36545553404983006,0.8980592640283621,0.37364729745470143,0.9056735632658622,0.7623726343940064,0.27125531798398206,0.6131480146064547,0.24225390441804703,0.21666782818355776,0.05624490222468102,0.2802327000379397,0.046462153458320776,0.12656953002183483,0.17217833255318332,0.3002223404631331,0.16937296913050126
5.4,14216.0,13.0,0.25932473783886445,0.8412918680480725,0.2868945954675208,0.9008429874392655,0.6824386528005744,0.1903355763073635,0.45428453828175014,0.16854188547006083,0.22723581184035296,0.09503977239793904,0.26764499764517036,0.09386093079956294,0.15210471976620693,0.17494552466314495,0.3743743557403777,0.16366946521243003
4.1,50758.0,65.0,0.33502802414823907,0.8648865658584873,0.32610587234637795,0.8545688400815752,0.7539799506483368,0.23867086473633156,0.6441459852998627,0.20828151584489288,0.12580470658808346,0.08065018774552242,0.19163455931110734,0.07311421018894897,0.093816553833309,0.11097441735883472,0.19919254820681165,0.09535790886331094
2.6,50251.0,65.0,0.37933578568580606,0.9422714520575324,0.4242473738592603,0.8710985160755801,0.8623336417027229,0.2516015226737677,0.8546063778235955,0.2408909493102768,0.12162589711036251,0.0234107658498076,0.19786675889298697,0.035470356483130364,0.06692662759620749,0.09544111560128603,0.16365495364124605,0.09284796371360013
5.2,2436.0,12.0,0.4375340046619198,0.8601701000380596,0.5489069379522037,0.6549730008479578,0.7535383932576293,0.292205248339657,0.9033321800576131,0.2834957297007152,0.08443322495999574,0.06786427256211448,0.18329212795807473,0.12335122626008711,0.07020753719479947,0.07138424666605234,0.06850364858476492,0.07006286750640904
1.16,329.0,1.0,0.2957746478873239,0.7666999002991027,0.3797306105042548,0.6960486322188449,0.6613659022931206,0.1944444444444444,0.6176470588235294,0.1735537190082644,,,,,,,,
2.8,23409.0,29.0,0.35292270242903306,0.8818234467002998,0.37758447477204127,0.8417036874256841,0.7653534223373313,0.24565366664006474,0.6825404490022001,0.22294793034785396,0.13851401017571918,0.0665547684620493,0.2180913345640986,0.07164304362280388,0.07787609716225598,0.11466306558452086,0.17789509187736569,0.10718014315706582
1.4,12634.0,19.0,0.38109149001790243,0.8555366289180198,0.4166657281253931,0.8357437961740746,0.7541175451676313,0.2893370386935413,0.6661196584528458,0.2608696651446336,0.23320269120055642,0.0897282389375016,0.29122119474678193,0.06361255720304573,0.12488686174517823,0.20730708147019677,0.28277277236858805,0.18807084315641412
6.5,3342.0,7.0,0.35656641760129604,0.8127969015209462,0.4021899660666663,0.8569779875036029,0.7356124345711957,0.26458171868826696,0.5988867610634313,0.23145263204096717,0.195478534946327,0.2030444990212683,0.242769161703562,0.056854729559233166,0.14129285865244964,0.16113319995582567,0.28625253001876705,0.14243195466476297
1.20,1060.0,2.0,0.4379107575233483,0.9109632431488557,0.5032638285860961,0.882162277863,0.7831691806360163,0.3263184584178499,0.6688524590163935,0.28295454545454546,0.09979230948602952,0.03528652114618655,0.08107742228105282,0.016785853494141422,0.055115794532744,0.08713334068373785,0.09737208134372134,0.08196010418298616
1.7,16198.0,17.0,0.2596167446919879,0.817880513024955,0.25738333616871245,0.8652863479473565,0.679762739883776,0.18626776278425253,0.4863823732418621,0.15800445913848388,0.15527861546840052,0.09744990908971646,0.2168300992643065,0.09769851148840021,0.11036534898083399,0.10613292089178505,0.31443178660281323,0.10561009993794668
1.10,39329.0,53.0,0.26892098360814126,0.87974273062427,0.27599574996779114,0.8259994614065748,0.764453399972245,0.16892673479660825,0.7016164251763749,0.16145914891699323,0.1321926610753288,0.04925518869291287,0.1153546797644349,0.07426158258144422,0.1320980865645817,0.08728077927610967,0.3386126372253858,0.08177583964651328
1.-,8932.0,20.0,0.39857057268889384,0.8935604164659819,0.5056555582306106,0.8110739807668439,0.7704958571580942,0.28922633095735223,0.7320898723741316,0.2643624042764637,0.1788759114227154,0.07182358574429257,0.26506851327523295,0.0943771105923623,0.10803105396698508,0.15077885644388092,0.2497595128005923,0.14705041851161604
