scope,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
c.73,11254.0,9.0,0.21979765947421562,0.8130399745435306,0.18503321705371314,0.8702620978288578,0.6668170600471267,0.15175435828266487,0.45351952652133254,0.13258169691322885,0.1682355794026774,0.09590628829060587,0.14539262302316663,0.07674715320090882,0.1291697353391779,0.11114658887536669,0.31350653123938943,0.10870674115226701
b.85,11259.0,24.0,0.3175572956573334,0.7836585868404353,0.32903065386663627,0.7901927176940159,0.6990801969926036,0.22489026743654053,0.6018088548728311,0.1976208543587731,0.15097478864512137,0.10750230195964632,0.2037102204483857,0.10763014080910728,0.11302002957523162,0.11814327150516218,0.28053111227492755,0.10359801262714798
a.102,36175.0,45.0,0.4652800733743661,0.9473731122843512,0.5645692300379292,0.9222434834859448,0.8625666802453433,0.3328994945556942,0.7979039089921235,0.3103749229460736,0.11916540700549522,0.03920724794519997,0.17663873529545912,0.010480199656939894,0.08564643127892498,0.09711806490589044,0.17567357164644265,0.09543629607032406
c.60,4309.0,6.0,0.3102780398236232,0.8647622920567873,0.2976706217795199,0.8942496493560835,0.7021098860999424,0.2385360554478201,0.4925636300636301,0.19625392005984732,0.19095154819159452,0.06043298749199323,0.19331792536002634,0.04541386267034744,0.14590694013307615,0.12881868822918624,0.34626007432896694,0.1341872162904979
d.96,4992.0,6.0,0.13303384246780472,0.6674311913179416,0.12232419271615252,0.9146387947130153,0.5666843236058952,0.10795120517342738,0.19305555555555554,0.07853132387706853,0.16328629146835758,0.18951019762649587,0.1307315693762308,0.036965139574513285,0.10522720504613954,0.13529257233577902,0.23513687897021138,0.1000416519668003
d.143,2687.0,8.0,0.3375647806183825,0.8426017856150281,0.3635108441108284,0.8141110605984933,0.734886751753262,0.23347502908195836,0.642749953083191,0.20657556789939793,0.09507744152347408,0.025576561004864037,0.10720137448315839,0.0119518467789975,0.034046828059105826,0.08198942065888488,0.08052493625674206,0.07041163976429973
c.23,48668.0,90.0,0.3668944166566514,0.8652298438317424,0.3827939230780987,0.8139402883724586,0.760696296772895,0.25947585745274165,0.708138643072628,0.23861673901631292,0.1717977419969087,0.059156467938814516,0.2239005013222929,0.06345508054588567,0.09892559472202118,0.14261366905915113,0.2538999374307102,0.13538539627865767
d.157,10762.0,19.0,0.3003167421187711,0.8536639870925467,0.33962560325174923,0.8220890943419503,0.7413460321838179,0.204809317024522,0.6549635098018491,0.1842743219480413,0.13953628804708648,0.06897558244848935,0.18011907384315295,0.0735479155830557,0.10822456360633757,0.11757490468333803,0.27668422654994806,0.0982026095698937
a.118,2049.0,4.0,0.3255004315610376,0.8275176558864644,0.3633785598824141,0.7855792935345465,0.7281816687113989,0.21915125261882062,0.6618408089188489,0.19491217320261434,0.04079194331337176,0.07282195877466406,0.11192449170325489,0.08711283170770442,0.05402389029498008,0.0390514597774447,0.1323394065028075,0.02876456388042599
c.34,1326.0,2.0,0.3407930169932213,0.8153707128118332,0.3435481892014983,0.8987142464246425,0.7120269427411845,0.257314795600747,0.5059523809523809,0.21385869565217389,0.19593338611390645,0.1675526983763454,0.35796078685106136,0.00378251564743621,0.12570224713869566,0.15524361371557743,0.26095607400932114,0.14334284205575118
