logits,labels,entries
-4.6413803,0.0,8816
-1.0388947,0.0,6501
-2.1997216,0.0,10917
0.5549811,0.0,6770
0.7646302,0.0,4316
1.0806658,0.0,1732
-0.61940813,0.0,16342
-3.444268,0.0,853
-0.81329805,0.0,12641
-1.9544894,0.0,7575
-0.9881803,0.0,3581
-0.45624885,0.0,3140
2.9401467,1.0,16176
-3.5654209,0.0,14792
-2.4904146,0.0,6577
-2.0405817,0.0,3478
-3.2409914,0.0,112
1.0722885,0.0,4365
-0.7515086,0.0,1289
-3.8145375,0.0,8427
-2.2888286,0.0,2841
-5.539457,0.0,17361
0.38284397,0.0,2533
-1.3877835,0.0,8799
-4.5607533,0.0,2210
-1.3403624,0.0,2908
3.0028343,0.0,6009
-0.7860124,0.0,4449
-1.2418147,0.0,1056
-2.3775895,0.0,3803
-3.96683,0.0,8444
-0.3523697,0.0,14463
-4.5481296,0.0,461
-2.2935321,0.0,3599
-3.4342754,0.0,1424
-2.782472,0.0,17
0.31021222,0.0,2457
-1.4598894,0.0,2795
-1.9116689,0.0,3715
-3.964311,0.0,14144
-4.514455,0.0,5221
-4.220576,0.0,3593
-1.2276893,0.0,3777
-3.3345942,0.0,11902
-4.098629,0.0,2347
-0.0048881136,0.0,4405
-2.54008,0.0,8655
-1.8904067,0.0,2843
0.10422345,0.0,7918
0.84977686,0.0,8698
-2.8018472,0.0,11506
-1.3613513,0.0,112
-2.058801,0.0,2939
-1.589383,0.0,1386
-1.3144934,0.0,3542
-0.7214692,0.0,4472
-2.073733,0.0,3358
-2.2958033,0.0,2533
-1.8532257,0.0,4256
-0.406968,0.0,5170
-4.75985,0.0,8201
-0.8673791,0.0,7570
1.7784878,1.0,11412
-2.7426918,0.0,11902
-3.2951343,0.0,4012
-4.012708,0.0,5320
-2.4960878,0.0,2842
-3.1317933,0.0,12961
-3.83542,0.0,3654
0.16330409,0.0,6223
-3.4325783,0.0,7854
-0.07438547,0.0,6463
-1.6200328,0.0,1915
-2.048382,0.0,588
-1.4025902,0.0,4263
0.17434028,0.0,3601
-1.1598339,0.0,3501
-2.443768,0.0,1915
-4.08705,0.0,4562
-4.201451,0.0,1056
-6.0163035,0.0,13601
-3.0569189,0.0,526
-3.6321304,0.0,15767
-4.4631376,0.0,14407
-3.0247715,0.0,10112
1.3010309,1.0,4773
-1.9305558,0.0,16853
0.41515282,1.0,1056
-2.5576499,0.0,2367
-2.371145,0.0,642
2.3672807,1.0,9928
0.16966951,0.0,9401
-2.2512395,0.0,1589
2.3230274,1.0,201
-5.3109193,0.0,547
-4.4272513,0.0,4720
-3.9174058,0.0,7766
-0.40237454,0.0,6663
-3.1456404,0.0,6389
-1.2718418,0.0,14742
2.1362362,1.0,4316
-0.4279935,0.0,11840
-0.53542733,0.0,6545
-2.6783693,0.0,3445
-3.6251576,0.0,272
-2.0028815,0.0,7509
-2.6971526,0.0,5221
-3.4547546,0.0,9225
-0.017800715,0.0,17566
-5.0006824,0.0,6210
0.66448843,0.0,11192
1.6836028,0.0,647
-0.065666705,0.0,3715
2.1824858,1.0,815
-2.7994602,0.0,6530
0.087262236,0.0,5170
-1.5658114,0.0,1319
-3.3273766,0.0,2565
-2.6304262,0.0,9421
-0.6123588,0.0,6006
0.04788848,0.0,16215
0.051508658,0.0,11509
-0.63581717,0.0,6067
-4.3185163,0.0,1010
-1.0523636,0.0,1906
-1.3715999,0.0,643
2.520787,1.0,6199
1.7130276,0.0,15674
-3.4019797,0.0,15082
-2.9457843,0.0,780
-4.47179,0.0,5304
-1.6820989,0.0,10841
-3.37559,0.0,4393
1.0964229,0.0,2668
2.443586,0.0,11459
-2.4000194,0.0,7144
-1.2652364,0.0,5659
0.5312173,0.0,2347
-0.14065799,0.0,8230
-2.4046657,0.0,14940
-0.27707583,0.0,15357
-5.2391477,0.0,9151
-2.6389017,0.0,6767
-3.5112646,0.0,3274
0.99966955,0.0,3610
-1.9961897,0.0,589
-4.262953,0.0,2930
-3.3791492,0.0,2665
-4.1152263,0.0,12642
-2.9430888,0.0,4811
-1.8364072,0.0,14587
0.5134494,1.0,14535
-1.9952576,0.0,8964
-2.9218433,0.0,3755
-0.31489465,0.0,5113
-2.6551044,0.0,2040
-1.083909,0.0,1320
-1.9403592,0.0,8584
-0.8337605,0.0,11280
-0.4768922,0.0,13022
-0.48402336,0.0,15414
-1.1927526,0.0,6769
0.2153615,0.0,3484
-2.7132556,0.0,6501
-0.97182995,0.0,3005
-4.122812,0.0,1864
-3.6749947,0.0,3369
0.52856576,0.0,16879
0.35237348,0.0,2705
1.3028386,0.0,11191
-0.25895414,1.0,6560
-3.1172876,0.0,1283
-1.3572764,0.0,2322
3.0128922,1.0,5028
-1.4859053,0.0,2296
1.0547847,0.0,15001
0.46352246,0.0,14400
-2.4973674,0.0,13525
-1.6817018,0.0,10642
-2.2505043,0.0,14400
0.201029,0.0,10111
0.98673534,0.0,13448
-2.061037,0.0,9714
-3.8156164,0.0,461
-3.739955,0.0,559
4.396227,1.0,8912
-4.2812667,0.0,15619
-4.1009073,0.0,14605
-4.071665,0.0,8882
-4.3725724,0.0,16731
-3.5028045,0.0,13981
-0.53245133,0.0,2974
-3.0533235,0.0,15414
-0.821651,0.0,7201
-1.3477404,0.0,4081
0.613217,1.0,1247
-0.3842557,0.0,642
-3.543108,0.0,495
-2.368552,0.0,9430
-2.1648116,0.0,6379
-0.43997815,0.0,11680
0.0772276,0.0,3923
-4.433293,0.0,190
-4.423351,0.0,7201
-0.3468803,0.0,2533
-2.9073296,0.0,16783
-2.274399,0.0,13123
-3.3457031,0.0,271
-2.3880146,0.0,17108
0.8242924,1.0,3477
-3.849918,0.0,11787
-1.1958334,0.0,14376
-0.2985181,0.0,16682
-1.1586645,0.0,5260
-4.217053,0.0,1911
-2.2631047,0.0,495
-5.5492206,0.0,9778
0.40269879,1.0,2594
-1.4854374,0.0,12976
-2.326021,0.0,3670
-0.9963694,0.0,10400
-2.3818748,0.0,918
0.3935527,0.0,2837
-0.27653036,0.0,4600
0.45520613,0.0,5854
-3.1727154,0.0,3014
-2.9145741,0.0,1010
0.6896429,1.0,5266
1.0596952,0.0,9965
2.0042005,0.0,10126
-4.715853,0.0,1173
-5.6705546,0.0,1731
-3.8425524,0.0,10283
-0.07067484,0.0,15340
-1.5283424,0.0,13573
-2.9270208,0.0,8523
0.371116,0.0,16273
-4.9999175,0.0,8903
0.5407293,0.0,8558
-3.1403003,0.0,1454
-2.1809413,0.0,1112
-2.4899988,0.0,642
-1.5200522,0.0,8559
-1.7152988,0.0,4184
-3.0333052,0.0,3715
-1.6401086,0.0,178
-2.3390353,0.0,7692
0.33996403,0.0,10889
-2.957603,0.0,1432
-5.264916,0.0,15196
-1.508747,0.0,5620
-3.1904109,0.0,1345
-1.6849816,0.0,1288
2.8989227,1.0,5028
-1.7944211,0.0,822
-2.467467,0.0,8949
-0.64097124,0.0,375
-2.806401,0.0,10819
1.6789383,0.0,9917
-0.829476,0.0,3803
-3.6227815,0.0,2229
-3.3760476,0.0,15044
-1.9480627,0.0,4552
-0.5523889,0.0,1778
-3.8818576,0.0,3773
0.3951361,0.0,10592
-6.748838,0.0,8920
-1.641066,0.0,5619
-5.512504,0.0,5431
-3.1103895,0.0,273
-5.0501122,0.0,16500
-4.1013618,0.0,2593
-3.2750456,0.0,15351
2.3200636,0.0,9058
-3.4268012,0.0,11563
-0.56562704,0.0,12036
-3.1261823,0.0,1840
-3.7397091,0.0,15973
2.6777823,1.0,384
-2.7185202,0.0,8230
-3.0624046,0.0,190
-1.3674893,0.0,8199
-4.108846,0.0,1387
3.337938,1.0,7575
-0.92504525,0.0,853
-5.3676205,0.0,11983
-1.1085422,0.0,3581
-3.4007432,0.0,667
-2.2528512,0.0,5958
-0.4827622,0.0,8183
-0.38825825,0.0,1393
-2.5464947,0.0,4012
-2.5771832,0.0,1393
-0.7045076,0.0,3695
-2.9272895,0.0,10810
-2.2446778,0.0,816
-1.5154047,0.0,1289
2.7729516,1.0,7125
-0.33224663,0.0,3292
-0.07776232,0.0,643
0.31136006,0.0,1840
-3.2783992,0.0,6530
-2.8707964,0.0,4562
3.2859735,1.0,15162
2.939112,0.0,6379
-2.0635898,0.0,11120
-5.251512,0.0,4323
1.1858177,0.0,14579
-0.7629558,0.0,11794
2.0045297,1.0,517
-2.7231133,0.0,6501
-2.4830165,0.0,11883
-0.09274091,0.0,15283
-1.7815211,0.0,15263
1.3259643,0.0,13278
-4.6139073,0.0,10315
-2.9232714,0.0,6107
-3.5191448,0.0,9457
-2.0532227,0.0,17
-3.7625005,0.0,3379
1.4304777,0.0,5130
0.09378966,0.0,1498
-1.9288602,0.0,16369
0.02287586,0.0,8458
-0.22763595,0.0,697
-7.497005,0.0,12642
-2.1478412,0.0,2846
3.6323187,1.0,9105
0.6489091,0.0,3691
-2.6499953,0.0,14602
-3.3205044,0.0,10819
-2.5429466,0.0,4449
-2.3985655,0.0,1446
0.16696474,0.0,3870
-1.9568545,0.0,156
-3.623615,0.0,2564
-0.57271683,0.0,3128
-2.267643,0.0,3019
2.1404216,0.0,6596
-1.0465387,0.0,70
