,N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
20,-1,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,,,1919.4543,0.61012536,0.5337974146134049,0.9032197412035614,39791,96578,12574,656286,0.42166223361980354,0.8644460147361807,0.8157984879640248,0.7598777809605652,0.29178918962520806,0.2671558918512451,18.0
0,1,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,9640.391,0.8013624548912048,9315.204,2.8015652,0.3932852166587768,0.8596360113016988,29688,67039,21928,732508,0.4002615559884861,0.8954759546643827,0.7456621309220253,0.5751704897706138,0.3069256774220228,0.2502043740255362,
1,2,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,8507.645,0.7072023749351501,10558.574,3.1755111,0.40182439752392896,0.8633665438277225,22970,35029,28646,764518,0.4191032249235962,0.9251905921662479,0.7006029954827312,0.4450170489770614,0.3960413110570872,0.2651047377228923,
2,3,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,8080.646,0.6717078685760498,8861.919,2.6652389,0.4366091646722098,0.8729741216826163,30782,64953,20834,734594,0.4178051048177481,0.8992120193194488,0.7575641087393836,0.5963654680719157,0.32153339948817045,0.2640667759009685,
3,4,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7767.962,0.6457158923149109,10392.319,3.1255095,0.4404142250006065,0.8707596960489354,27708,47773,23908,751774,0.4360134385548046,0.9157846381950343,0.7385301039488719,0.536810291382517,0.36708575668048915,0.2787833663685116,
4,5,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7541.4453,0.6268865466117859,10002.863,3.00838,0.4774202398190713,0.8840501647596389,35527,87896,16089,711651,0.4059323922097361,0.8778318606424387,0.7891810391021431,0.6882943273403596,0.28784748385633147,0.2546519295831183,
5,6,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7350.0054,0.6109730005264282,5502.943,1.6550204,0.47990751615973837,0.8832971930182846,35832,91251,15784,708296,0.4010319028086335,0.8742485281902527,0.7900374863033397,0.6942033477991321,0.2819574608720285,0.25080669433809066,
6,7,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7194.342,0.5980334281921387,7418.1064,2.2310095,0.4827127348413311,0.8851664333620598,31898,61092,19718,738455,0.4411711823852399,0.9050593129635569,0.7707892023095135,0.617986670799752,0.34302613184213354,0.28301451538488837,
7,8,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7072.545,0.5879089832305908,4070.7349,1.2242812,0.4931887706769304,0.889250530191243,35115,78620,16501,720927,0.4247328410472268,0.8882458471526605,0.7909908132571086,0.6803123062616243,0.30874401019914716,0.2696259098866673,
8,9,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3079575,"[0, 1, 2, 3, 4, 5, 8, 9]",851163,"[6, 7]",851163,"[6, 7]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6971.7607,0.5795312523841858,7516.156,2.260498,0.4893862649799484,0.8881925528034643,34132,72499,17484,727048,0.43137626621673714,0.8942822937557201,0.7852963645790747,0.6612678239305642,0.32009453160900675,0.2750030213914515,
